date,perc_oggi,ospedalizzati_oggi,Temperatura_media,Umidità_media
2020-09-07,1.4599999999999997,268.0,20.981415906788246,79.76990881458967
2020-09-08,1.4328571428571428,275.0,21.69611111111111,71.28730158730158
2020-09-09,1.3800000000000001,279.0,22.247917933130697,70.88728470111448
2020-09-10,1.3499999999999999,286.0,22.79595238095238,73.56369047619047
2020-09-11,1.3785714285714283,273.0,23.065238095238094,72.72261904761903
2020-09-12,1.374285714285714,278.0,23.41690476190476,69.79166666666667
2020-09-13,1.4357142857142857,280.0,24.236428571428576,67.2892857142857
2020-09-14,1.49,290.0,24.234546605876393,66.61063829787234
2020-09-15,1.4342857142857142,292.0,23.6509726443769,64.29103343465046
2020-09-16,1.4157142857142857,294.0,23.944642857142856,64.92083333333333
2020-09-17,1.3985714285714288,304.0,23.889761904761905,62.24107142857143
2020-09-18,1.3842857142857146,316.0,23.516071428571426,62.484523809523814
2020-09-19,1.3114285714285714,307.0,20.7825,68.56130952380951
2020-09-20,1.2185714285714286,302.0,20.19928571428571,75.3625
2020-09-21,1.1214285714285714,319.0,20.832936507936505,78.83333333333334
2020-09-22,1.167142857142857,328.0,19.052562111801244,89.59316770186335
2020-09-23,1.162857142857143,341.0,19.49528985507246,82.17650103519668
2020-09-24,1.1314285714285715,334.0,19.181071428571432,83.21011904761905
2020-09-25,1.1357142857142857,330.0,16.920238095238094,75.09464285714286
2020-09-26,1.167142857142857,342.0,15.70892857142857,41.06011904761905
2020-09-27,1.1514285714285715,333.0,12.827063492063493,65.1531746031746
2020-09-28,1.237142857142857,337.0,14.026666666666666,67.53869047619048
2020-09-29,1.2714285714285716,348.0,15.280952380952382,70.70178571428572
2020-09-30,1.3014285714285716,340.0,16.305238095238092,75.53511904761903
2020-10-01,1.3357142857142859,333.0,16.710891590678823,81.08675278622088
2020-10-02,1.362857142857143,341.0,16.48964285714286,87.39880952380953
2020-10-03,1.4685714285714286,335.0,17.23559523809524,69.35833333333333
2020-10-04,1.5857142857142856,335.0,14.88988095238095,74.16904761904762
2020-10-05,1.8157142857142858,346.0,14.699498480243161,82.4144883485309
2020-10-06,1.9171428571428575,360.0,14.430357142857144,80.41011904761903
2020-10-07,2.108571428571429,379.0,16.499880952380952,70.47440476190476
2020-10-08,2.3628571428571425,402.0,14.731547619047618,71.76547619047619
2020-10-09,2.69,415.0,14.781428571428572,78.50357142857142
2020-10-10,3.104285714285715,452.0,15.75675170068027,78.68707482993197
2020-10-11,3.7471428571428573,481.0,11.867236937328121,91.99258213923868
2020-10-12,4.015714285714286,513.0,11.618148429584599,77.75587639311046
2020-10-13,4.601428571428571,608.0,10.220197568389057,66.47720364741642
2020-10-14,5.1642857142857155,709.0,10.724949341438702,73.45734549138804
2020-10-15,5.631428571428572,798.0,10.551610942249239,91.44731509625126
2020-10-16,6.2128571428571435,905.0,11.775595238095237,84.56130952380953
2020-10-17,6.811428571428571,1039.0,10.764987335359676,84.08110435663627
2020-10-18,7.2371428571428575,1175.0,11.114880952380954,84.90238095238097
2020-10-19,8.177142857142858,1249.0,11.505584886128364,86.50678053830227
2020-10-20,8.61,1391.0,11.468989361702128,86.32727963525836
2020-10-21,9.321428571428571,1655.0,12.587976190476189,84.88690476190477
2020-10-22,10.062857142857142,1841.0,12.229166666666668,91.05833333333332
2020-10-23,10.832857142857142,2197.0,12.912420634920634,95.96785714285714
2020-10-24,11.684285714285716,2366.0,13.479642857142858,94.01488095238096
2020-10-25,12.645714285714288,2557.0,13.49757142857143,88.77357142857143
2020-10-26,13.384285714285713,2701.0,14.271507092198581,92.54632725430598
2020-10-27,14.455714285714285,2986.0,12.058197278911564,82.96011904761905
2020-10-28,15.454285714285714,3364.0,10.905357142857143,81.99107142857143
2020-10-29,16.259999999999998,3700.0,11.390541844644835,84.8204318936877
2020-10-30,17.09,4068.0,11.657857142857143,87.40595238095239
2020-10-31,17.65285714285714,4425.0,10.942811550151976,91.7950861195542
2020-11-01,18.419999999999998,4664.0,11.50422797025787,94.02421294099034
2020-11-02,19.15857142857143,4841.0,11.646921768707484,96.01190476190474
2020-11-03,19.762857142857143,5215.0,13.452857142857143,93.73214285714286
2020-11-04,19.681428571428572,5525.0,14.071615646258504,92.03954081632654
2020-11-05,20.259999999999998,5840.0,13.57419959473151,90.76000506585612
2020-11-06,20.58857142857143,6133.0,13.057500000000003,84.23273809523809
2020-11-07,21.424285714285713,6423.0,10.891580547112463,89.47575987841945
2020-11-08,20.687142857142856,6875.0,10.561411564625852,87.35102040816328
2020-11-09,20.78857142857143,7084.0,11.623333333333333,87.21607142857144
2020-11-10,21.09857142857143,7390.0,10.455889057750761,91.40354609929078
2020-11-11,20.78,7671.0,8.993333333333334,88.79931972789117
2020-11-12,20.837142857142858,7829.0,10.483115942028984,87.83762939958592
2020-11-13,20.50857142857143,8120.0,10.572698412698413,91.05238095238096
2020-11-14,20.215714285714284,8438.0,10.887070393374742,88.98964803312629
2020-11-15,20.82857142857143,8618.0,11.357142857142856,84.64821428571429
2020-11-16,20.867142857142856,8756.0,10.448592415689678,94.17928426689824
2020-11-17,20.704285714285714,9045.0,8.563877551020408,86.96003401360544
2020-11-18,21.348571428571432,9226.0,6.452781385281385,91.54676870748301
2020-11-19,21.08857142857143,9206.0,5.73047619047619,94.12202380952382
2020-11-20,21.477142857142855,9234.0,8.37452380952381,82.90765306122448
2020-11-21,21.065714285714282,9250.0,5.661190476190477,68.24047619047619
2020-11-22,20.53142857142857,9340.0,3.592142857142857,73.52261904761905
